permalink,api_path,web_path,api_url,first_name,last_name,gender,title,organization_permalink,organization_api_path,organization_web_path,organization_name,profile_image_url,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
byron-giles,people/byron-giles,person/byron-giles,https://api.crunchbase.com/v3.1/people/byron-giles,Byron,Giles,Male,Founder & Senior Operations Director,certificationpoint,organizations/certificationpoint,organization/certificationpoint,CertificationPoint,http://public.crunchbase.com/t_api_images/cdwqy3uggoz2xyb2nk1l,http://www.certificationpoint.org,,http://twitter.com/bgiles23,https://www.linkedin.com/in/byron-giles-43199741,,Nevada,United States,1389939570,1598884277
hugo-maestá,people/hugo-maestá,person/hugo-maestá,https://api.crunchbase.com/v3.1/people/hugo-maestá,Hugo,Maestá,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/epjay9ka5fctqintg7to,,,,https://www.linkedin.com/in/hugomaesta/,Florianópolis,Santa Catarina,Brazil,1598883863,1598884015
rinat-latypov,people/rinat-latypov,person/rinat-latypov,https://api.crunchbase.com/v3.1/people/rinat-latypov,Rinat,Latypov,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/ccdq8di7wurosvt3rxjk,,https://www.facebook.com/latypov.r.r/,,https://www.linkedin.com/in/rinatlatypov/,,Samara,Russian Federation,1598883514,1598883838
liz-maslakova,people/liz-maslakova,person/liz-maslakova,https://api.crunchbase.com/v3.1/people/liz-maslakova,Liz,Maslakova,,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/wizjw46vck8omndkifa0,,,,,London,England,United Kingdom,1598883537,1598883537
william-rufino,people/william-rufino,person/william-rufino,https://api.crunchbase.com/v3.1/people/william-rufino,William,Rufino,Male,Co-Founder,convertpack,organizations/convertpack,organization/convertpack,Convertpack,http://public.crunchbase.com/t_api_images/v1474705640/srnguywyyxmtr2mtzoos.png,http://www.williamrufino.com.br,https://www.facebook.com/williamrufinobr/,http://twitter.com/williamhrs,https://www.linkedin.com/in/williamrufino,Belo Horizonte,Minas Gerais,Brazil,1323405731,1598883526
christian-siemoneit,people/christian-siemoneit,person/christian-siemoneit,https://api.crunchbase.com/v3.1/people/christian-siemoneit,Christian,Siemoneit,Male,Managing Director,soleria-capital,organizations/soleria-capital,organization/soleria-capital,Soleria Capital,http://public.crunchbase.com/t_api_images/zgiza7ay1tnylkpvw6rf,http://www.soleriacapital.com,,https://twitter.com/CHRIST1AN7,https://www.linkedin.com/in/christian-siemoneit/,Munich,Bayern,Germany,1524091942,1598883365
alican-soysal,people/alican-soysal,person/alican-soysal,https://api.crunchbase.com/v3.1/people/alican-soysal,Alican,Soysal,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/rxplmfjqfwjahmxedfwj,,,,https://www.linkedin.com/in/alicansoysal,,,,1598883007,1598883133
mesut-mert,people/mesut-mert,person/mesut-mert,https://api.crunchbase.com/v3.1/people/mesut-mert,Mesut,Mert,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/blpufcxferfs0nu0ufxv,,,,https://www.linkedin.com/in/mesutmertrateforkurucu97btioyo/,,,,1598883007,1598883078
brady-harris,people/brady-harris,person/brady-harris,https://api.crunchbase.com/v3.1/people/brady-harris,Brady,Harris,Male,CEO,dwolla,organizations/dwolla,organization/dwolla,Dwolla,http://public.crunchbase.com/t_api_images/noaeolqrhehy2u6ucshj,https://www.dwolla.com/,,https://twitter.com/dwollabrady,https://www.linkedin.com/in/brady-harris/,Des Moines,Iowa,United States,1598651637,1598881462
christian-resch,people/christian-resch,person/christian-resch,https://api.crunchbase.com/v3.1/people/christian-resch,Christian,Resch,Male,"Managing Director, Special Situations Group",goldman-sachs,organizations/goldman-sachs,organization/goldman-sachs,Goldman Sachs,,,,,https://www.linkedin.com/in/christian-resch-b9a1a146/,London,England,United Kingdom,1518693039,1598881375
molly-fienning,people/molly-fienning,person/molly-fienning,https://api.crunchbase.com/v3.1/people/molly-fienning,Molly,Fienning,Female,Co-Founder & CEO,red-clay-hot-sauce,organizations/red-clay-hot-sauce,organization/red-clay-hot-sauce,Red Clay Hot Sauce,http://public.crunchbase.com/t_api_images/uxac6ubdshid6hj9d0lx,,,,https://www.linkedin.com/pub/molly-fienning/37/892/327,New York,New York,United States,1434343378,1598881079
lucas-noldus,people/lucas-noldus,person/lucas-noldus,https://api.crunchbase.com/v3.1/people/lucas-noldus,Lucas,Noldus,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/m6uh4mmrskfj5adq6xx2,,,,http://www.linkedin.com/in/lucasnoldus,Wageningen,Gelderland,The Netherlands,1598880906,1598880906
